pros,cons,overall_rating
"Diverse lunch options nearby.","Lunch breaks are discouraged by high workload.",2
"Good onboarding buddy system.","Buddies are often too busy to help.",3
"Respect for religious holidays.","You have to use PTO for them.",3
"Merit-based promotions.","Merit is defined by how much the boss likes you.",2
"State of the art lab equipment.","Access to the lab is restricted to senior staff.",3
"Encourages internal mobility.","Managers hoard talent and block transfers.",2
"Annual charity run is fun.","Participation feels mandatory.",3
"Free flu shots on site.","They ran out of vaccines in the first hour.",3
"Good separation of work and personal life.","Remote access creates pressure to check in.",3
"Clearly defined job descriptions.","Role expansion happens without pay increase.",2
"Competitive entry-level salary.","Salary compression for long-term employees.",2
"Good focus on data privacy.","Security training is boring and repetitive.",3
"Open to rehiring former employees.","You lose your tenure and benefits status.",3
"Generous bereavement leave.","Have to provide proof which feels invasive.",3
"Positive feedback culture.","Negative feedback is often passive-aggressive.",2
"Good library of technical books.","Books are often outdated.",3
"Social responsibility is a core value.","Feels like greenwashing sometimes.",2
"Nice view from the office.","The sun glare makes it hard to see screens.",3
"Free parking.","Parking lot is unpaved and muddy.",3
"Monthly birthday celebrations.","Cake is always stale.",2
"Good interaction with other teams.","Dependencies on other teams slow us down.",3
"Strong patent reward program.","Company owns all your IP even side projects.",2
"Good travel policy (business class).","Only for Directors and above.",3
"Helpful legal team.","Legal reviews take forever.",3
"Culture of experimentation.","Failed experiments are punished.",2
"Good intern program.","Interns do all the grunt work.",3
"Regular safety drills.","Drills are disruptive to focus time.",3
"Access to gym discounts.","Gyms are not near the office.",3
"Phone bill reimbursement.","Only $20 a month.",3
"Encourages public speaking.","No training provided for it.",3
"Good agile practices.","Agile is used as a micromanagement tool.",2
"Clear code of conduct.","Enforcement is inconsistent.",2
"Respect for privacy.","Monitoring software installed on laptops.",1
"Good nursing rooms for mothers.","Rooms are often booked for meetings.",2
"Subsidized public transport passes.","Passes arrive late every month.",3
"Good backlog management.","Backlog is a black hole where ideas die.",3
"Regular backups of data.","Restoring data is a painful process.",3
"High quality office furniture.","Carpets are dirty and stained.",2
"Good ventilation in the office.","It is always freezing cold.",3
"Access to Pluralsight.","Login issues are common.",3
"Support for open source.","Legal makes it hard to contribute.",3
"Good secure bike storage.","Showers are often cold.",3
"Transparent hiring process.","Process takes 3 months.",2
"Good vendor relationships.","Vendors treat us better than management.",3
"Strong cybersecurity posture.","Password rotation policy is annoying.",3
"Good automated testing.","Tests are flaky and fail often.",3
"Regular performance bonuses.","Tax eats up most of the bonus.",3
"Good exposure to AI tools.","AI tools are blocked by firewall.",2
"Clear escalation paths.","Escalations are ignored.",1
"Good documentation tools (Notion).","Notion is slow and cluttered.",3
"Support for standing desks.","You need a doctor's note to get one.",2
"Good virtual collaboration tools.","Zoom fatigue is real.",3
"Respect for pronouns.","Some systems still don't support it.",3
"Good lighting in the workspace.","Fluorescent lights cause headaches.",2
"Access to conference rooms.","Booking system is broken.",2
"Good mobile app for employees.","App crashes constantly.",2
"Clear invoicing process.","Finance team is hard to reach.",3
"Good brand guidelines.","Guidelines stifle creativity.",3
"Support for higher education.","Only specific degrees are covered.",3
"Good git workflow.","Merge conflicts are frequent.",3
"Regular security audits.","Audits are stressful.",2
"Good focus on accessibility.","Internal tools are not accessible.",2
"Competitive hourly rate.","Hours are cut without notice.",1
"Good shift scheduling.","Split shifts are common.",2
"Paid breaks.","Breaks are timed to the second.",2
"Free uniforms.","Uniforms are uncomfortable.",2
"Good safety gear provided.","Gear is often wrong size.",2
"Clear overtime policy.","Overtime is mandatory.",1
"Good layout of warehouse.","Walking distance is huge.",2
"Music allowed in workspace.","Volume is too loud.",3
"Clean restrooms.","Soap dispensers always empty.",3
"Good parking security.","Gate is slow to open.",3
"Clear attendance policy.","Point system is too strict.",2
"Good inventory system.","Scanners are buggy.",3
"Fair distribution of tasks.","Favorites get easier jobs.",2
"Good temperature control.","Drafty in winter.",3
"Access to water stations.","Water tastes weird.",3
"Regular breaks.","Not enough time to eat.",2
"Good training on equipment.","Training is rushed.",2
"Respectful supervisors.","Supervisors yell when stressed.",1
"Clear safety signage.","Signs are faded.",3
"Good lighting in warehouse.","Some aisles are dark.",2
"Teamwork is encouraged.","One person does all the work.",2
